Title,Price,Location,BuildArea,NoOfBedrooms,NoOfBathrooms
Marina Bay Block A low floor 2 car park,RM 498 000,Tanjong Tokong,1100 sq.ft.,3 Bedrooms,2 Bathrooms
Desa Gemilang low density 2 car park opposite Chung Ling,RM 635 000,Ayer Itam,1079 sq.ft.,3 Bedrooms,2 Bathrooms
I Santorini Condominium At Tanjung Tokong.Penang,RM 456 960,Tanjong Tokong,850 sq.ft.,3 Bedrooms,2 Bathrooms
FULL LOAN Pinang Laguna Corner Unit near Penang Bridge Sunway Medical,RM 305 000,Seberang Jaya,990 sq.ft.,4 Bedrooms,2 Bathrooms
[RARE IN MARKET] Tropicana Bay Residence NB Queensbay/Penang Bridge,RM 550 000,Bayan Lepas,615 sq.ft.,2 Bedrooms,1 Bathroom
Tropicana Bay Residence NB Queensbay Mall/Penang Bridge/FTZ/Egate/USM,RM 800 000,Bayan Lepas,1320 sq.ft.,3 Bedrooms,3 Bathrooms
"ramah Pavilion,1150sf 3 rooms taluk kumbar",RM 425 000,Bayan Lepas,1150 sq.ft.,3 Bedrooms,2 Bathrooms
"100% LOAN, Taman Desa Relau 2, Relau, Middle Floor",RM 259 000,Relau,700 sq.ft.,3 Bedrooms,2 Bathrooms
Tamarind 1380sf 2cp Low Floor Cheapers In Market,RM 1 050 000,Tanjong Tokong,1380 sq.ft.,3 Bedrooms,2 Bathrooms
Best buy orchard ville [ HIGH FLOOR-NICE VIEW ] sg ara forest - KK,RM 520 000,Sungai Ara,1080 sq.ft.,3 Bedrooms,2 Bathrooms
Must buy all season [ 2 CARPARK - FULLY FURNISHED ] hillview - KK,RM 518 000,Ayer Itam,856 sq.ft.,3 Bedrooms,2 Bathrooms
Must buy all season [ 2 CARPARK - FULLY FURNISHED ] town view - KK,RM 515 000,Ayer Itam,856 sq.ft.,3 Bedrooms,2 Bathrooms
Gurney Park For Sale,RM 698 000,Georgetown,970 sq.ft.,3 Bedrooms,2 Bathrooms
Asia heights height CORNER full reno full extend VALUE FOR MONEY,RM 390 000,Ayer Itam,831 sq.ft.,3 Bedrooms,2 Bathrooms
Asia Height 838sf 1cp Renovated Full Extend Best Buy,RM 370 000,Ayer Itam,838 sq.ft.,3 Bedrooms,2 Bathrooms
Desa May Sale,RM 180 000,Relau,527 sq.ft.,2 Bedrooms,1 Bathroom
Tropicana Bay Residence At Penang,RM 650 000,Bayan Lepas,555 sq.ft.,1 Bedroom,1 Bathroom
Halaman Krystal 1 At Jelutong.Penang,RM 518 000,Jelutong,1100 sq.ft.,3 Bedrooms,2 Bathrooms
SEA FRONT DUPLEX / shorefront residence / 2602 sqft WELD QUAY,RM 2 600 000,Georgetown,2602 sq.ft.,3 Bedrooms,3 Bathrooms
ELIT HEIGHTS [1465sf] Partially Furnished 1Cpark [LOW FLOOR] CHEAPEST,RM 600 000,Bayan Lepas,1465 sq.ft.,3 Bedrooms,2 Bathrooms
RENO UNIT Tunas Residensi Relau Near Pisa Corner,RM 385 000,Relau,830 sq.ft.,3 Bedrooms,2 Bathrooms
Ramah Pavilion part renovated 1050sf teluk kumbar,RM 385 000,Bayan Lepas,1050 sq.ft.,3 Bedrooms,2 Bathrooms
Desa Tanjung Apartment for Sale,RM 700 000,Tanjong Tokong,1200 sq.ft.,3 Bedrooms,2 Bathrooms
Queens Residences 2 At Batam Lepas Penang,RM 950 000,Bayan Lepas,950 sq.ft.,3 Bedrooms,2 Bathrooms
"Suasana @ Ultropolis Batu Kawan Bandar Casia, Penang",RM 530 000,Batu Kawan,926 sq.ft.,3 Bedrooms,2 Bathrooms
ELIT HEIGHTS [1123sf] Brand New Condition 2Cpark [LOW FLOOR] RARE,RM 550 000,Bayan Lepas,1123 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! Halaman Kristal, 800sf, Fully Furnished & Renovated",RM 380 000,Jelutong,800 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! Sensasi, 729sf, Corner Unit, Original Unit, 2 Car Park",RM 430 000,Batu Kawan,729 sq.ft.,2 Bedrooms,2 Bathrooms
"Super Cheap !! Tri Pinnacle, Tg Tokong, 1 Carpark, High Floor",RM 420 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
Gedung Heights Apartment,RM 350 000,Bayan Lepas,811 sq.ft.,3 Bedrooms,2 Bathrooms
BEST Gambier Height [900sf KITCHEN FURNISH 1CP] Gelugor USM Bridge FTZ,RM 360 000,Gelugor,1000 sq.ft.,3 Bedrooms,2 Bathrooms
AZURIA CONDO-Well Maintained Bright & Windy,RM 310 000,Tanjung Bungah,700 sq.ft.,3 Bedrooms,2 Bathrooms
M-Vista For Sale! 1000sqf! Nice View!,RM 720 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
[Key On Hand] The Oasis Condo Bukit Gambier Gelugor Well Renovate,RM 540 000,Gelugor,1140 sq.ft.,3 Bedrooms,2 Bathrooms
Great option 2Carpark Sri Kristal 886sf farlim s. Impian,RM 378 000,Ayer Itam,886 sq.ft.,3 Bedrooms,2 Bathrooms
Corner extend Desa Intan Ayer Itam desa baiduri farlim,RM 134 000,Ayer Itam,600 sq.ft.,2 Bedrooms,2 Bathrooms
"Taman paya terubong , paya terubong , flat",RM 120 000,Paya Terubong,550 sq.ft.,2 Bedrooms,1 Bathroom
CENTRAL GARDEN 750sf JELUTONG ORIGINAL WELL MAINTAIN 1CARPARK LOWDENSE,RM 430 000,Paya Terubong,750 sq.ft.,3 Bedrooms,2 Bathrooms
TAMAN SRI BUNGA 700sf JELUTONG RENO 1CARPARK WELL MAINTAIN WORTH BUY,RM 330 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
PANGSAPURI DELIMA 750sf PULAU TIKUS RENO SUPER LOW DENSE NEAR GURNEY,RM 480 000,Pulau Tikus,750 sq.ft.,3 Bedrooms,2 Bathrooms
IMPERIAL RESIDENCE [1100sf] Partially Furnished 2Cpark [POOL VIEW],RM 560 000,Sungai Ara,1100 sq.ft.,3 Bedrooms,2 Bathrooms
IMPERIAL RESIDENCE [1350sf GARDEN UNIT] Brand New Condition [4 CPARK],RM 640 000,Sungai Ara,1350 sq.ft.,3 Bedrooms,2 Bathrooms
IMPERIAL RESIDENCE [1100sf] Full Furnished Renovated 2CP [HIGH FLOOR],RM 560 000,Sungai Ara,1100 sq.ft.,3 Bedrooms,2 Bathrooms
"High Floor Corner Unit !! Tri Pinnacle, 800sf, Fully Furnished",RM 535 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! Skyridge Garden, 1450sf, Partly Furnished, 2cp, Low Floor",RM 755 000,Tanjong Tokong,1450 sq.ft.,3 Bedrooms,3 Bathrooms
"Best Buy !! Sensasi, 500sf, Partly Furnished, 2 Car Park, Studio Unit",RM 330 000,Batu Kawan,500 sq.ft.,1 Bedroom,1 Bathroom
"(Fully Furnished) Apartment Taman Kumbar Permai, Teluk Kumbar, Penang",RM 375 000,Teluk Kumbar,1080 sq.ft.,3 Bedrooms,2 Bathrooms
Permai Jaya [1 CP] Corner unit TARUC_Tanjung Bunga,RM 280 000,Tanjung Bungah,678 sq.ft.,3 Bedrooms,2 Bathrooms
Desa Penaga,RM 358 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
Spacious 1750sf Tropicana Bay Residence Bayan Lepas PWC Renovated,RM 1 100 000,Bayan Lepas,1750 sq.ft.,3 Bedrooms,2 Bathrooms
Ground floor Rare Desa baiduri 690sf Cp in front House Desa Intan,RM 345 000,Ayer Itam,690 sq.ft.,3 Bedrooms,2 Bathrooms
"100% LOAN, Hamna Flat, Sungai Dua",RM 155 000,Sungai Dua,550 sq.ft.,2 Bedrooms,2 Bathrooms
"FULL LOAN, Taman Jade View, Kitchen Cabinet, NB USM",RM 257 000,Gelugor,721 sq.ft.,3 Bedrooms,2 Bathrooms
"Taman Jade View, Jadeview, 100% Loan, Newly Paint, NB USM Ivory",RM 280 000,Gelugor,721 sq.ft.,3 Bedrooms,2 Bathrooms
"Arena Residence, Facing Sunway Tunas Elit, Bayan Baru, Windy Unit",RM 630 000,Bayan Baru,1250 sq.ft.,3 Bedrooms,2 Bathrooms
"Arena Residence, 3 Car Parks, Block A, Residential Title, Bayan Baru",RM 660 000,Bayan Baru,1300 sq.ft.,3 Bedrooms,2 Bathrooms
"100% LOAN, Sri Saujana, 1 Car Park, Georgetown,Renovated Well maintain",RM 245 000,Georgetown,650 sq.ft.,3 Bedrooms,2 Bathrooms
"FULL LOAN, Taman Jade View, Jadeview, Renovated Unit",RM 290 000,Gelugor,721 sq.ft.,3 Bedrooms,2 Bathrooms
"Sea View !! Tri Pinnacle, Tg Tokong, 2 Carparks, High Floor, Furnish",RM 530 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal !! Tri Pinnacle, 800sf, Furnish, Reno, Corner Unit, Sea View",RM 500 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
Taman Sri Idaman Flat At Farlim,RM 130 000,Ayer Itam,550 sq.ft.,2 Bedrooms,1 Bathroom
Taman Bukit jambul (bj court),RM 218 000,Bukit Jambul,700 sq.ft.,3 Bedrooms,2 Bathrooms
Dpiazza D Piazza D'piazza Bayan Lepas Baru Renovated Lowest,RM 470 000,Bayan Baru,1100 sq.ft.,3 Bedrooms,2 Bathrooms
Sri Saujana macallum,RM 235 000,Georgetown,650 sq.ft.,3 Bedrooms,2 Bathrooms
Brezza Tanjung Tokong Revoated And Furnished Lowest In Market,RM 640 000,Tanjong Tokong,1250 sq.ft.,3 Bedrooms,2 Bathrooms
"Great Buy !! Tri Pinnacle, 3 Carparks, Sea View, High Floor",RM 550 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal !! Tri Pinnacle, 800sf, Furnish, 2carparks, Partly Sea View",RM 470 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! Rise Collection 3, Town View, Middle Floor, 2 Carparks",RM 470 000,Georgetown,1000 sq.ft.,3 Bedrooms,2 Bathrooms
Taman Sri Gertak Sanggul Flat At Teluk Kumbar Full Loan,RM 135 000,Teluk Kumbar,550 sq.ft.,2 Bedrooms,1 Bathroom
Flat Taman Sri Gertak Sanggul Renovated Full Loan Teluk Kumbar,RM 132 000,Teluk Kumbar,550 sq.ft.,2 Bedrooms,1 Bathroom
Sri Ivory Apartment Renovated Corner Unit Full Loan At Farlim,RM 245 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
OLIVE TREE RESIDENCE [1712sf] Brand New Condition 2Cpark [MID FLOOR],RM 745 000,Bayan Baru,1712 sq.ft.,3 Bedrooms,2 Bathrooms
OLIVE TREE RESIDENCE [1712sf] Full Furnished Basic Renovated 2CarPark,RM 870 000,Bayan Baru,1712 sq.ft.,3 Bedrooms,2 Bathrooms
"(DESERVE PRICE) at Sri Mekar Apartment, Bagan Lalang, Butterworth",RM 318 000,Butterworth,950 sq.ft.,3 Bedrooms,2 Bathrooms
1109SF Cheapest Full Loan Ocean View Condo Harbour Place Butterworth,RM 360 000,Butterworth,1109 sq.ft.,3 Bedrooms,2 Bathrooms
PINE RESIDENCE-2CP Relaxing & Comfortable Environment,RM 650 000,Paya Terubong,1500 sq.ft.,4 Bedrooms,2 Bathrooms
Pine Residence 1508sqft low floor pool view 3CP worth buy,RM 666 000,Ayer Itam,1508 sq.ft.,3 Bedrooms,2 Bathrooms
Olive Tree Residence low density low floor 1712sqft 2CP,RM 750 000,Bayan Baru,1712 sq.ft.,3 Bedrooms,2 Bathrooms
Birch Regency 3 bedroom type 1180sqft corner lot nice renovation,RM 790 000,Georgetown,1180 sq.ft.,3 Bedrooms,2 Bathrooms
Mutiara Indah freehold bukit gambier gelugor original condition,RM 270 000,Gelugor,700 sq.ft.,3 Bedrooms,2 Bathrooms
Shineville Park Penhouse 3350sqft 4 side by side car parks farlim,RM 780 000,Ayer Itam,3350 sq.ft.,5 Bedrooms,5 Bathrooms
sea breeze tower BUKIT DUMBAR JELUTONG low density move in condition,RM 650 000,Jelutong,1000 sq.ft.,3 Bedrooms,2 Bathrooms
3 Residence 845sqft 2CP Cheapest in market karpal singh drive,RM 618 000,Jelutong,845 sq.ft.,3 Bedrooms,2 Bathrooms
"Key With Me !! Tri Pinnacle, 800sf, Furnished, Facing The Peak, 2cp",RM 480 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
3 Residence Condo Sea View 2 Side By Side CarParks Karpal Singh Drive,RM 620 000,Jelutong,851 sq.ft.,3 Bedrooms,2 Bathrooms
OLIVE TREE RESIDENCE [1712sf] Basic Renovated 2Cpark [LOW FLOOR],RM 788 000,Bayan Baru,1712 sq.ft.,3 Bedrooms,2 Bathrooms
ELIT HEIGHTS [1465sf] Unfurnished Condition Well Maintain [2 CARPARK],RM 610 000,Bayan Lepas,1465 sq.ft.,3 Bedrooms,2 Bathrooms
ELIT HEIGHTS [1572sf] Full Furnished Basic Renovated 2CP [LOW FLOOR],RM 650 000,Bayan Lepas,1572 sq.ft.,3 Bedrooms,2 Bathrooms
ELIT HEIGHTS [1123sf] Fully Furnished Renovated Well Maintain 2CPARK,RM 600 000,Bayan Lepas,1123 sq.ft.,3 Bedrooms,2 Bathrooms
Setia Sky Ville Codominium(New) at Jelutong,RM 750 000,Jelutong,1036 sq.ft.,3 Bedrooms,2 Bathrooms
Apartment Casa Prima 1 Carpark Full Loan Permatang Pauh,RM 260 000,Perai,860 sq.ft.,3 Bedrooms,2 Bathrooms
Seri Nibung Apartment 1 Fixed Carpark At Bukit Jambul,RM 268 000,Bukit Jambul,700 sq.ft.,3 Bedrooms,1 Bathroom
UL Residence (New) 4.5 Storey Corner at Air Itam,RM 1 700 000,Ayer Itam,5000 sq.ft.,5 Bedrooms,5 Bathrooms
Damai Vista 700sqft 1CP Sell with tenancy jelutong ,RM 399 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
[FULL LOAN] Apartment at Bayan Lepas Sungai Ara For Sale / CHEAPEST !!,RM 239 000,Sungai Ara,630 sq.ft.,3 Bedrooms,1 Bathroom
Tunas Residensi Condo Full Furnished&Reno 830SF Setia Spice Sungai Ara,RM 385 000,Relau,830 sq.ft.,3 Bedrooms,2 Bathrooms
VILLA KEJORA-Well Ventilation Public Amenities In Vicinity Convenient,RM 298 000,Bayan Lepas,750 sq.ft.,3 Bedrooms,2 Bathrooms
Harmony Residence 5025sqft super low density with private pool,RM 3 300 000,Tanjung Bungah,5025 sq.ft.,3 Bedrooms,4 Bathrooms
Skycube Residence sungai ara original high floor city view 1200sqft,RM 630 000,Sungai Ara,1200 sq.ft.,3 Bedrooms,2 Bathrooms
Birch Regency georgetown cheapest in market pool view georgetown,RM 560 000,Georgetown,950 sq.ft.,2 Bedrooms,2 Bathrooms
GREENLANE PARK 1270SF 1CP Komtar View Corner UNIT Fully Reno Furnish,RM 640 000,Greenlane,1270 sq.ft.,3 Bedrooms,2 Bathrooms
GREENLANE PARK 1270SF 1CP Hill City View High Floor FullyFurnish Reno,RM 618 000,Greenlane,1270 sq.ft.,4 Bedrooms,2 Bathrooms
ARTIS 3 CONDO 1175SF 2CP Sea View HighFloor JELUTONG SKYVIEW WORTHBUY,RM 800 000,Jelutong,1175 sq.ft.,3 Bedrooms,2 Bathrooms
Tree Sparina 1130sqft 2CP High floor nice view bayan lepas,RM 690 000,Bayan Lepas,1130 sq.ft.,3 Bedrooms,2 Bathrooms
Starhill Residence 1480sqft 2CP Move in condtion Gelugor,RM 930 000,Gelugor,1480 sq.ft.,3 Bedrooms,3 Bathrooms
Renovated 1302sf Bayswater Seaview Gelugor E gate,RM 870 000,Gelugor,1313 sq.ft.,3 Bedrooms,3 Bathrooms
Gurney Park 980sqft fully furnished 1CP next to gurney plaza mall,RM 700 000,Georgetown,980 sq.ft.,3 Bedrooms,2 Bathrooms
GARDEN VILLE 1230SF 2CP HighFloor SUNGAI ARA CHEAPEST NOW WORTHBUY,RM 520 000,Sungai Ara,1230 sq.ft.,3 Bedrooms,2 Bathrooms
Gardens Ville @ Sungai Ara Bayan Lepas Fully Furnished For Sale!,RM 550 000,Sungai Ara,1115 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal !! Tri Pinnacle, 800sf, Ori Unit, 2 Car Park, Mid Floor",RM 445 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
Desaria Sri Merpati Apartment Renovated At Sungai Ara Full Loan,RM 198 000,Sungai Ara,630 sq.ft.,3 Bedrooms,1 Bathroom
Halaman Teratai Apartment Ground Floor Renovated At Sungai Nibong,RM 480 000,Sungai Nibong,920 sq.ft.,3 Bedrooms,2 Bathrooms
3 Residence Condo High Floor Reno & Furnished At Karpal Singh Drive,RM 668 000,Jelutong,845 sq.ft.,3 Bedrooms,2 Bathrooms
Quay West Condominium 2 Fixed Carparks Near Queensbay,RM 550 000,Relau,760 sq.ft.,2 Bedrooms,1 Bathroom
Setia Pinnacle nice reno mid floor hill view sungai ara 2 cp,RM 648 000,Sungai Ara,1314 sq.ft.,3 Bedrooms,2 Bathrooms
Turfclub View Renovate Scotland Villas Condo Georgetown Near Sri York,RM 1 400 000,Georgetown,2100 sq.ft.,4 Bedrooms,3 Bathrooms
"Bukit Saujana, apartment , Paya Terubong",RM 190 000,Ayer Itam,800 sq.ft.,3 Bedrooms,2 Bathrooms
[CHEAPEST] Block 35 Tingkat Paya Terubong Flat / Kitchen Renovated,RM 95 000,Paya Terubong,550 sq.ft.,2 Bedrooms,1 Bathroom
"Birch the plaza, Georgetown , condominium",RM 550 000,Georgetown,1050 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! Rise Collection 3, Town View, Middle Floor, 2 Carparks",RM 470 000,Georgetown,1000 sq.ft.,3 Bedrooms,2 Bathrooms
fettes Residence 2700sft 3cp Fully Renovated Furnish at Tg Tokong,RM 1 500 000,Tanjong Tokong,2700 sq.ft.,4 Bedrooms,4 Bathrooms
Fettes Residence 2400sft 2cp Fully Renovated Full Furnish at Tg Tokong,RM 1 800 000,Tanjong Tokong,2400 sq.ft.,4 Bedrooms,4 Bathrooms
Fettes Residence 1600sft 2cp Fully Renovated Full Furnish at Tg Tokong,RM 1 300 000,Tanjong Tokong,1600 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! Forestville, Seaview Unit, 1000sf, Ori Unit, 2 Car Park",RM 540 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
3 CARPARK 1000sqft RENOVATED UNIT IMPERIAL GRANDE Sungai Ara,RM 599 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal !! Tri Pinnacle, 800sf, Furnish, Reno, Corner Unit, 2cp",RM 487 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
"Sea range tower , batu feringghi, condominium",RM 510 000,Batu Ferringhi,1000 sq.ft.,2 Bedrooms,2 Bathrooms
LCP Paya Terubong 550sf Duplex Unit CHEAP BUY Ayer Itam,RM 100 000,Ayer Itam,550 sq.ft.,2 Bedrooms,1 Bathroom
Woodsbury duplex condo ori harbour place butterworth Raja uda,RM 379 000,Butterworth,750 sq.ft.,1 Bedroom,2 Bathrooms
Ferringhi Delima Fully Renovated Furnished 1 Car Park Batu Ferringhi,RM 320 000,Batu Ferringhi,700 sq.ft.,3 Bedrooms,2 Bathrooms
Ferringhi Delima CORNER Fully Renovated SEAVIEW 721sf Batu Ferringhi,RM 350 000,Batu Ferringhi,721 sq.ft.,3 Bedrooms,2 Bathrooms
Desa Melor Condo 1950sf Pulau Tikus,RM 1 420 000,Pulau Tikus,1950 sq.ft.,4 Bedrooms,3 Bathrooms
"Best Buy !! Regency Heights, 1270+129sf, Fully Renovated, 1 Car Park",RM 570 000,Sungai Ara,1270 sq.ft.,3 Bedrooms,2 Bathrooms
Setia Sky Ville Condominium(New) at Jelutong,RM 750 000,Jelutong,1036 sq.ft.,3 Bedrooms,2 Bathrooms
IMPERIAL RESIDENCE [1200sf] Unfurnished Kitchen Reno [CORNER UNIT],RM 600 000,Sungai Ara,1200 sq.ft.,3 Bedrooms,2 Bathrooms
Krystal Villa Sungai Nibong 850sf Beside Krystal Point Well maintain,RM 370 000,Sungai Nibong,850 sq.ft.,3 Bedrooms,2 Bathrooms
"Simple Design Apartment at Kampung Benggali, Butterworth, Pulau Pinang",RM 325 000,Butterworth,1000 sq.ft.,3 Bedrooms,2 Bathrooms
Tri Pinnacle Save Time & Money Renovated Higher Floor 2 Carparks Tg,RM 530 000,Tanjong Tokong,850 sq.ft.,3 Bedrooms,2 Bathrooms
Ferringhi Delima Partly Renovated Furnished 1 CarPark Batu Ferringhi,RM 300 000,Batu Ferringhi,721 sq.ft.,3 Bedrooms,2 Bathrooms
GT2 Golden Triangle 2 Sungai Ara NEW Furnished N Renovated NICE UNIT,RM 630 000,Sungai Ara,1161 sq.ft.,3 Bedrooms,2 Bathrooms
[CHEAPEST] Pusat Bayan Apartment Bayan Lepas For Sale / Negotiable !!!,RM 166 000,Bayan Lepas,600 sq.ft.,2 Bedrooms,1 Bathroom
Marina Tower condo @ Tanjung Bungah,RM 660 000,Bayan Lepas,1238 sq.ft.,3 Bedrooms,2 Bathrooms
Alila 2 condo @ Tanjung Bungah,RM 2 600 000,Tanjung Bungah,2397 sq.ft.,3 Bedrooms,3 Bathrooms
[ Worth Buy ] The Spring 925sf 2 CarPark Well Maintain Jelutong Cheap,RM 530 000,Jelutong,925 sq.ft.,3 Bedrooms,2 Bathrooms
[ Renovated ] The Spring 925sf 2Car Park Well Maintain Jeluton Kps,RM 550 000,Jelutong,925 sq.ft.,3 Bedrooms,2 Bathrooms
"The Spring, 936sf, Great View, 2 Car Park, Georgetown",RM 520 000,Jelutong,936 sq.ft.,3 Bedrooms,2 Bathrooms
PALM COURT [WELL MAINTAINED] Tanjung Tokong,RM 235 000,Tanjong Tokong,700 sq.ft.,3 Bedrooms,2 Bathrooms
Prominence Condominium Corner Big Unit Fully Furnished. Bukit Mertajam,RM 495 000,Bukit Mertajam,1508 sq.ft.,3 Bedrooms,2 Bathrooms
Baystar 1805sf Full Furnish Renovated Near Queenbay Ftz Airport,RM 1 150 000,Bayan Lepas,1805 sq.ft.,3 Bedrooms,3 Bathrooms
DESA PERMATA 700sft Farlim Ayer Itam,RM 282 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
"FULL LOAN, Desa Delima, Farlim, 1 Car Park",RM 215 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
DESA PERMATA 2 Carparks 700sft AYER ITAM,RM 298 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Golden Triangle 2 worth buy unit cheapest in the market don't miss it,RM 670 000,Sungai Ara,1161 sq.ft.,3 Bedrooms,2 Bathrooms
{Corner Unit} Melody Home 3Room 750SF Fully Renovation ,RM 385 000,Ayer Itam,750 sq.ft.,3 Bedrooms,2 Bathrooms
"The Spring, 1162sf, Fully Renovated, 2 Car Parks",RM 680 000,Jelutong,1162 sq.ft.,3 Bedrooms,3 Bathrooms
Gurney Paragon condo @ Persiaran Gurney,RM 4 180 000,Persiaran Gurney,4586 sq.ft.,4 Bedrooms,4 Bathrooms
"Fully Furnished, Sea View - Sinar Bukit Dumbar Apt, Jelutong, Penang.",RM 330 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
2 Bed/ 1Bath unit - Desa Ixora Ayer Itam for Sale,RM 145 000,Ayer Itam,530 sq.ft.,2 Bedrooms,1 Bathroom
SUNSHINE TOWER FULLY FURNISHED&RENO FREEHOLD JELUTONG 1050sf,RM 550 000,Jelutong,1050 sq.ft.,3 Bedrooms,2 Bathrooms
GEM Residence | Luxury Condo | Perai | Butterworth,RM 405 800,Perai,1050 sq.ft.,3 Bedrooms,2 Bathrooms
The Loft 1615sf Original Unit At Batu Maung Ftz,RM 770 000,Batu Maung,1615 sq.ft.,3 Bedrooms,3 Bathrooms
Acres Ville 750sf Partial Furnish Renovated At Sungai Ara Pisa,RM 280 000,Sungai Ara,750 sq.ft.,3 Bedrooms,2 Bathrooms
One Foresta 900sf 2 Car Park Renovated At Bayan Lepas Airport Ftz,RM 440 000,Bayan Lepas,900 sq.ft.,3 Bedrooms,2 Bathrooms
"Spectrum Residence Condo, Kota Permai, Bukit Tengah, Juru Icon City Bm",RM 470 000,Bukit Mertajam,1220 sq.ft.,3 Bedrooms,2 Bathrooms
"Platinum 3 Condo , Bayan Lepas Near Airport",RM 560 000,Bayan Lepas,1320 sq.ft.,3 Bedrooms,2 Bathrooms
{Great Location}M Vista Condominium 845sq @ Batu Maung Bayan Lepas,RM 600 000,Bayan Lepas,841 sq.ft.,3 Bedrooms,2 Bathrooms
"Apartment Sri Kenanga Di Batu Uban, Penang Untuk Dijual !!",RM 298 000,Gelugor,800 sq.ft.,3 Bedrooms,2 Bathrooms
Renovated & Furnished | PARK VIEW Tower | Jln Harbour Place,RM 265 000,Butterworth,883 sq.ft.,3 Bedrooms,2 Bathrooms
GREENLANE HEIGHTS BASIC RENOVATED 700sf TOWN VIEW NR GREENLANE PARK,RM 320 000,Greenlane,700 sq.ft.,3 Bedrooms,2 Bathrooms
Taman Jubilee Phase 3,RM 360 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
Royal Infinity Condominium for Sale Simpang Ampat,RM 328 000,Simpang Ampat,1140 sq.ft.,3 Bedrooms,2 Bathrooms
Dutamas Residence | Luxury Condo | Partly Furnished | Bukit Mertajam,RM 398 000,Bukit Mertajam,1225 sq.ft.,3 Bedrooms,2 Bathrooms
"Fully Renovated & Furnished | Park View Tower, Harbour Place",RM 315 000,Butterworth,883 sq.ft.,3 Bedrooms,2 Bathrooms
Desa Ixora Farlim Flat corner unit renovated unfurnished unit,RM 150 000,Ayer Itam,501 sq.ft.,2 Bedrooms,1 Bathroom
Farlim Flat 4A renovated corner unit with 3bedroom,RM 155 000,Ayer Itam,550 sq.ft.,3 Bedrooms,1 Bathroom
PUNCAK ERSKINE 1Carpark Tanjung Tokong,RM 160 000,Tanjong Tokong,650 sq.ft.,3 Bedrooms,2 Bathrooms
PUNCAK ERSKINE 1Carpark [NICELY RENOVATED] TANJUNG TOKONG,RM 160 000,Tanjong Tokong,650 sq.ft.,3 Bedrooms,2 Bathrooms
"Apartment Seri Intan,Sg Ara Penang.",RM 300 000,Relau,820 sq.ft.,3 Bedrooms,2 Bathrooms
"Sungai Are Acres Ville Apartment near KFC, Domino's Pizza",RM 280 000,Bayan Lepas,700 sq.ft.,3 Bedrooms,2 Bathrooms
One Sky 1 Sky 1380sf Partly Renovated Furnished 2 Car Park CITY VIEW,RM 590 000,Bayan Lepas,1380 sq.ft.,3 Bedrooms,2 Bathrooms
Low Floor NOVUS 1155SQFT Sungai Nibong 2 Car park BRAND NEW Bare unit,RM 620 000,Bayan Lepas,1155 sq.ft.,3 Bedrooms,2 Bathrooms
"Apartment Delima Intan, Juru",RM 250 000,Juru,786 sq.ft.,3 Bedrooms,2 Bathrooms
Solaria 1110sf Poolview Basic Reno At Bayan Lepas Airport Ftz,RM 575 000,Sungai Ara,1110 sq.ft.,3 Bedrooms,2 Bathrooms
One Foresta 900sf 2 Car Park Fully Furnish At Bayan Lepas Airport Ftz,RM 478 000,Bayan Lepas,900 sq.ft.,3 Bedrooms,2 Bathrooms
Golden Triangle 1430sf 2 Car Park Original Unit At Sungai Ara Pisa,RM 600 000,Relau,1430 sq.ft.,3 Bedrooms,2 Bathrooms
